UF,Capital,Região,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total,Mediana,Classe
AC,Rio Branco,<b>Norte</b>,300,280,280,210,120,55,40,55,95,160,195,260,<b>2.050</b>,<b>178</b>,"1,3x"
AM,Manaus,<b>Norte</b>,280,265,290,285,210,110,85,65,80,115,170,230,<b>2.185</b>,<b>190</b>,"1,3x"
PA,Belém,<b>Norte</b>,375,390,420,385,310,195,165,145,150,165,185,290,<b>3.175</b>,<b>242</b>,"1,3x"
AP,Macapá,<b>Norte</b>,290,310,340,320,275,210,185,135,100,95,120,220,<b>2.600</b>,<b>215</b>,"1,3x"
RO,Porto Velho,<b>Norte</b>,310,290,290,225,140,60,35,50,105,185,215,270,<b>2.175</b>,<b>200</b>,"1,3x"
RR,Boa Vista,<b>Norte</b>,35,20,30,80,160,220,210,170,120,85,70,50,<b>1.250</b>,<b>75</b>,"0,7x"
TO,Palmas,<b>Norte</b>,260,230,240,180,80,15,5,10,55,130,190,240,<b>1.635</b>,<b>155</b>,"1,0x"
MA,São Luís,<b>Nordeste</b>,245,270,330,340,280,190,150,75,35,30,40,130,<b>2.115</b>,<b>170</b>,"1,3x"
PI,Teresina,<b>Nordeste</b>,215,200,230,180,85,15,5,5,15,40,90,160,<b>1.240</b>,<b>63</b>,"0,7x"
CE,Fortaleza,<b>Nordeste</b>,170,205,305,290,190,95,60,25,30,20,25,70,<b>1.485</b>,<b>83</b>,"1,0x"
RN,Natal,<b>Nordeste</b>,85,105,180,210,170,150,130,70,60,35,35,60,<b>1.290</b>,<b>95</b>,"0,7x"
PB,João Pessoa,<b>Nordeste</b>,90,110,195,245,220,195,175,105,75,45,40,55,<b>1.545</b>,<b>108</b>,"1,0x"
PE,Recife,<b>Nordeste</b>,105,135,235,270,240,215,195,120,80,45,45,75,<b>1.760</b>,<b>120</b>,"1,0x"
AL,Maceió,<b>Nordeste</b>,85,100,195,245,220,195,175,130,105,60,40,55,<b>1.605</b>,<b>118</b>,"1,0x"
SE,Aracaju,<b>Nordeste</b>,65,80,145,180,175,160,145,100,80,55,40,50,<b>1.275</b>,<b>90</b>,"0,7x"
BA,Salvador,<b>Nordeste</b>,110,120,150,230,240,200,170,140,115,100,110,125,<b>1.810</b>,<b>133</b>,"1,0x"
MT,Cuiabá,<b>C. Oeste</b>,240,220,200,120,40,10,5,15,55,120,175,220,<b>1.420</b>,<b>120</b>,"1,0x"
MS,Campo Grande,<b>C. Oeste</b>,235,210,185,110,70,45,35,45,85,130,165,215,<b>1.530</b>,<b>118</b>,"1,0x"
GO,Goiânia,<b>C. Oeste</b>,250,225,220,120,40,10,5,10,55,130,200,245,<b>1.510</b>,<b>120</b>,"1,0x"
DF,Brasília,<b>C. Oeste</b>,250,230,220,120,40,10,5,10,55,140,200,245,<b>1.525</b>,<b>120</b>,"1,0x"
MG,Belo Horizonte,<b>Sudeste</b>,285,210,195,75,30,15,15,15,50,110,190,290,<b>1.480</b>,<b>93</b>,"1,0x"
ES,Vitória,<b>Sudeste</b>,210,165,190,120,80,55,60,60,80,120,180,215,<b>1.535</b>,<b>118</b>,"1,0x"
RJ,Rio de Janeiro,<b>Sudeste</b>,180,150,150,110,75,55,45,50,80,105,120,170,<b>1.290</b>,<b>108</b>,"0,7x"
SP,São Paulo,<b>Sudeste</b>,240,210,190,75,60,45,35,40,75,125,150,200,<b>1.445</b>,<b>108</b>,"1,0x"
PR,Curitiba,<b>Sul</b>,180,170,150,110,95,90,85,80,115,130,130,155,<b>1.490</b>,<b>113</b>,"1,0x"
SC,Florianópolis,<b>Sul</b>,210,200,175,115,95,80,85,90,120,135,140,175,<b>1.620</b>,<b>128</b>,"1,0x"
RS,Porto Alegre,<b>Sul</b>,120,110,110,95,100,110,120,110,125,130,110,110,<b>1.350</b>,<b>110</b>,"0,7x"
