UF,Capital,Região,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total Anual,Mediana,Classe
AC,Rio Branco,Norte,300,280,280,210,120,55,40,55,95,160,195,260,2050,178,"1,3x"
AM,Manaus,Norte,280,265,290,285,210,110,85,65,80,115,170,230,2185,190,"1,3x"
PA,Belém,Norte,375,390,420,385,310,195,165,145,150,165,185,290,3175,242,"1,3x"
AP,Macapá,Norte,290,310,340,320,275,210,185,135,100,95,120,220,2600,215,"1,3x"
RO,Porto Velho,Norte,310,290,290,225,140,60,35,50,105,185,215,270,2175,200,"1,3x"
RR,Boa Vista,Norte,35,20,30,80,160,220,210,170,120,85,70,50,1250,82,"0,7x"
TO,Palmas,Norte,260,230,240,180,80,15,5,10,55,130,190,240,1635,155,"1,0x"
MA,São Luís,Nordeste,245,270,330,340,280,190,150,75,35,30,40,130,2115,170,"1,3x"
PI,Teresina,Nordeste,215,200,230,180,85,15,5,5,15,40,90,160,1240,88,"0,7x"
CE,Fortaleza,Nordeste,170,205,305,290,190,95,60,25,30,20,25,70,1485,82,"1,0x"
RN,Natal,Nordeste,85,105,180,210,170,150,130,70,60,35,35,60,1290,95,"0,7x"
PB,João Pessoa,Nordeste,90,110,195,245,220,195,175,105,75,45,40,55,1550,108,"1,0x"
PE,Recife,Nordeste,105,135,235,270,240,215,195,120,80,45,45,75,1760,128,"1,0x"
AL,Maceió,Nordeste,85,100,195,245,220,195,175,130,105,60,40,55,1605,118,"1,0x"
SE,Aracaju,Nordeste,65,80,145,180,175,160,145,100,80,55,40,50,1275,90,"0,7x"
BA,Salvador,Nordeste,110,120,150,230,240,200,170,140,115,100,110,125,1810,132,"1,3x"
MT,Cuiabá,Centro-Oeste,240,220,200,120,40,10,5,15,55,120,175,220,1420,120,"1,0x"
MS,Campo Grande,Centro-Oeste,235,210,185,110,70,45,35,45,85,130,165,215,1530,120,"1,0x"
GO,Goiânia,Centro-Oeste,250,225,220,120,40,10,5,10,55,130,200,245,1510,125,"1,0x"
DF,Brasília,Centro-Oeste,250,230,220,120,40,10,5,10,55,140,200,245,1525,130,"1,0x"
MG,Belo Horizonte,Sudeste,285,210,195,75,30,15,15,15,50,110,190,290,1480,92,"1,0x"
ES,Vitória,Sudeste,210,165,190,120,80,55,60,60,80,120,180,215,1535,120,"1,0x"
RJ,Rio de Janeiro,Sudeste,180,150,150,110,75,55,45,50,80,105,120,170,1290,108,"0,7x"
SP,São Paulo,Sudeste,240,210,190,75,60,45,35,40,75,125,150,200,1445,100,"1,0x"
PR,Curitiba,Sul,180,170,150,110,95,90,85,80,115,130,130,155,1490,122,"1,0x"
SC,Florianópolis,Sul,210,200,175,115,95,80,85,90,120,135,140,175,1620,128,"1,0x"
RS,Porto Alegre,Sul,120,110,110,95,100,110,120,110,125,130,110,110,1350,110,"0,7x"
